Variable,Logit_sin_penalidad,LASSO,Ridge
es_mujer,0.055064024112480243,0.0,0.029372062581723028
vive_en_pareja,-0.07350017072794407,-0.05882538164753118,-0.08954026369737188
tiene_cobertura_medica,-0.7979402428138598,-0.7333762068038303,-0.7234807566980826
asiste_actualmente,-0.01662957329385847,0.0,0.012271729569053962
secundario_completo_o_mas,0.0112078401092093,0.0,-0.012670646641751888
CH06,-1.83213119131815,-0.03378744413277161,-0.34463610576754733
edad2,1.7834900408146868,0.0,0.30897584989527654
educ,-0.1523610175220382,-0.08233522954669076,-0.13108208372711497
nhogar,-0.09931269295611941,-0.014763191526390088,-0.0814072454825363
es_subocupado,0.034361562075483756,0.033174911585041746,0.04259297567674331
horas_totales_ocupado,-0.11975404404348605,-0.03652444027951349,-0.11515688087809009
P21,-1.0573395011240336,-0.5908285382649261,-0.47222901460796546
P47T,0.22126197479545479,0.0,-0.06807215460070455
informal_2024,0.9556329575889163,0.9379149596101032,0.9022648790854205
REGION_40,-0.36296050580448214,-0.08836972078226824,-0.22368564647956696
REGION_41,-0.1426103806925762,0.0,-0.06981192326268164
REGION_42,-0.310059564805234,-0.07983793032561255,-0.19648830254133853
REGION_43,-0.16955937081599112,0.02437306365464408,-0.06593777154858968
REGION_44,-0.23473600067311048,0.0,-0.14035452028189366
MAS_500_S,0.035716177351229464,0.058492138786212365,0.05653917913156191
CH03_2,0.13269851136944094,0.0,0.0914170815175857
CH03_3,0.2528584317372643,0.19020547621382977,0.24479600729693665
CH03_4,0.13693383004973977,0.045076498454683755,0.11364223878730459
CH03_5,0.0046792786750731044,0.0,0.026418130245530934
CH03_6,-0.16401389347894105,0.0,-0.019324186352984603
CH03_8,0.09398563093803693,0.05211104435802908,0.08748095258525422
CH03_9,0.07015891263552529,0.017861388806801742,0.06011299752384369
CH03_10,-0.3858669560594261,-0.04135400420324796,-0.11484249734296934
