Modelo,N,Informales,Accuracy,Precision,Sensibilidad,F1,ROC-AUC
Logit sin penalidad,819,145,0.9242979242979243,0.8429752066115702,0.7034482758620689,0.7669172932330827,0.9503734779494525
LASSO,819,145,0.9267399267399268,0.8455284552845529,0.7172413793103448,0.7761194029850746,0.9506190524915583
Ridge,819,145,0.927960927960928,0.8524590163934426,0.7172413793103448,0.7790262172284644,0.9504860329479178
CART,819,145,0.9267399267399268,0.7814569536423841,0.8137931034482758,0.7972972972972973,0.9468638084518571
