Modelo,TN,FP,FN,TP,Accuracy,1-Accuracy,Precision,Sensibilidad,Especificidad,F1,ROC-AUC
Logit sin penalidad,2516,84,152,261,0.9216727514105543,0.07832724858944573,0.7565217391304347,0.6319612590799032,0.9676923076923077,0.6886543535620053,0.9429651704227974
Ridge,2526,74,157,256,0.9233322270162628,0.07666777298373717,0.7757575757575758,0.6198547215496368,0.9715384615384616,0.6890982503364738,0.9422555410691005
LASSO,2536,64,169,244,0.9226684367739795,0.07733156322602053,0.7922077922077922,0.5907990314769975,0.9753846153846154,0.6768377253814147,0.9418467126094245
CART,2502,98,126,287,0.9256554928642549,0.07434450713574514,0.7454545454545455,0.6949152542372882,0.9623076923076923,0.7192982456140351,0.910440957347737
