,corr_2024,corr_2025,cambio_abs
edad,-0.17493443141689338,-0.16840954375683437,0.0065248876600590144
edad2,-0.14073292454934583,-0.13346760779048109,0.007265316758864743
educ,-0.27040570536556224,-0.28546313673039253,0.015057431364830287
horastrabj,-0.21705147733522137,-0.23305218030571861,0.016000702970497244
nhogar,0.1718999160172242,0.16801589494875632,0.0038840210684678855
P21,-0.42587330032172993,-0.4155849800907297,0.010288320231000236
PP04C,-0.7203498228123999,-0.7188006108064692,0.0015492120059307224
