,PC1,PC2,PC3,PC4,PC5,PC6,PC7
edad,0.5405335615459831,-0.41704206837032665,-0.02773827729118302,0.11964723680593856,0.13204438902283813,-0.03272078615733992,0.7073246342594518
edad2,0.5282626908896324,-0.43559539053709706,-0.03977888347235539,0.11322396556490386,0.1275392731100356,-0.03445230393802706,-0.7066398883280324
educ,0.08290675303202243,0.4348516203382011,-0.5162183253606483,0.3803755705371692,0.6246835019871733,0.05099379906707448,-0.005810274782386743
horastrabj,0.24183459293280585,0.29742244498920156,0.5650060128756481,-0.4854050815168699,0.5329293175765285,-0.11869769731738783,-0.010160228766974568
nhogar,-0.24351497063217645,-0.10678926833061246,0.6174266941410713,0.7181012850272348,0.17685888638087985,0.033178331315170756,-0.005609428753420034
P21,0.4187227324405155,0.3868527447381159,0.16038933892987267,0.10563029340630076,-0.316605393877146,0.7333387064710258,-0.01044482924569326
PP04C,0.3588540519970894,0.44465439671290663,0.07067256680273039,0.2563864077514974,-0.4006704841021079,-0.6649559518775718,-0.008624401597963544
