Año,Grupo,Formal (%),Informal lower-tier (%),N muestral clasificado,Población expandida
2024,Total,76.44000356304596,23.559996436954044,12968,8217688
2024,Mujeres,72.71510357949502,27.28489642050497,6205,3877167
2024,Hombres,79.767267569953,20.23273243004699,6763,4340521
2025,Total,75.69168707884687,24.30831292115313,11768,8125459
2025,Mujeres,70.58715236205303,29.412847637946964,5734,3862064
2025,Hombres,80.31571083608252,19.684289163917487,6034,4263395
