Año,Grupo,Formal asalariado,Informal lower-tier,Informal upper-tier,No clasificable,N
2024,Total,63.88127497713623,19.689201212661988,12.811958374261675,3.6175654359401066,15292
2024,Mujeres,61.64486538774382,23.131009709994593,12.269057460567906,2.9550674416936777,7184
2024,Hombres,65.82584431265686,16.696531491340657,13.284013436984713,4.193610759017767,8108
2025,Total,63.67740039782476,20.449936242846217,12.573090878067912,3.299572481261112,13943
2025,Mujeres,61.570325955912544,25.65564066207522,10.753392202733096,2.02064117927914,6580
2025,Hombres,65.46092714978579,16.043583572140008,14.113369286562273,4.382119991511928,7363
