Variable,n,promedio,desvío_estándar,mínimo,p1,p25,p50,p75,p99,máximo
CH04,43638,1.525642788395435,0.49934773596940385,1.0,1.0,1.0,2.0,2.0,2.0,2.0
CH06,43391,37.806365375308246,22.202494249693412,1.0,2.0,19.0,36.0,55.0,86.0,101.0
CH07,43637,3.5132570983339826,1.6489063699055684,1.0,1.0,2.0,5.0,5.0,5.0,5.0
CH08,43535,2.1418169289077755,1.7359085693515472,1.0,1.0,1.0,1.0,4.0,12.0,23.0
NIVEL_ED,43638,3.7509280901966178,1.7379735971278043,1.0,1.0,3.0,4.0,5.0,7.0,7.0
ESTADO,43638,2.171249828131445,1.1192528956191232,1.0,1.0,1.0,3.0,3.0,4.0,4.0
CAT_OCUP,43635,1.2718918299530193,1.391722095533518,0.0,0.0,0.0,0.0,3.0,3.0,4.0
EMPLEO,19688,1.4442299878098335,0.49689259049445994,1.0,1.0,1.0,1.0,2.0,2.0,2.0
SECTOR,18948,1.3882731686721554,0.6168100618101876,1.0,1.0,1.0,1.0,2.0,3.0,3.0
PP04C,17004,4.80363443895554,3.7823616697405837,0.0,0.0,1.0,4.0,8.0,12.0,12.0
PP04D_COD,19681,44912.90005589147,22976.403294400643,1.0,5002.0,30203.0,41332.0,57314.0,90146.00000000006,99998.0
P21,39724,364445.36851777264,727927.6074862726,0.0,0.0,0.0,0.0,600000.0,3000000.0,30000000.0
P47T,38084,544200.3758796345,843555.133762319,0.0,0.0,0.0,350000.0,800000.0,3500000.0,30000000.0
PP07H,13943,1.3677831169762604,0.48221921717673377,1.0,1.0,1.0,1.0,2.0,2.0,2.0
PP3E_TOT,19655,35.90979394556093,16.36243470872559,0.0,0.0,25.0,40.0,48.0,84.0,168.0
REGION,43638,35.37171731060085,15.174583000361675,1.0,1.0,40.0,42.0,43.0,44.0,44.0
AGLOMERADO,43638,23.064210092121545,17.271315141748058,2.0,2.0,10.0,22.0,32.0,93.0,93.0
PP04B_COD,19698,6295.485125393441,2502.7882433034483,19.0,104.0,4803.0,5602.0,8501.0,9700.0,9999.0
PP04G,18356,9.62486380475049,2.363630865166458,2.0,3.0,8.0,11.0,11.0,12.0,13.0
COMPONENTE,43638,2.410903341124708,1.5499349435307557,1.0,1.0,1.0,2.0,3.0,7.0,18.0
