,SECTOR,ESTADO,CAT_OCUP,P21,P47T,NIVEL_ED,CH04,CH06,CH07,CH08
SECTOR,1.0,,-0.1890998744863678,-0.3467079039372764,-0.3090209454609469,-0.34946341730987257,0.17234620774356424,0.011900823741680428,0.04846431537581439,0.3571860969290491
ESTADO,,1.0,-0.9166162268554877,-0.5814000998150559,-0.48061004031254206,-0.1781097727684455,0.11431061091882853,-0.2724532237066919,0.3730927183532651,0.023910103778033275
CAT_OCUP,-0.1890998744863678,-0.9166162268554877,1.0,0.5607214858207878,0.43458662913984664,0.21760684887047949,-0.11407314935601906,0.13383772764971485,-0.2968009692795869,-0.023466251231421677
P21,-0.3467079039372764,-0.5814000998150559,0.5607214858207878,1.0,0.8599511231969897,0.23415868491457328,-0.14512053853802276,0.12850009598542408,-0.27077533723267266,-0.10632466284604052
P47T,-0.3090209454609469,-0.48061004031254206,0.43458662913984664,0.8599511231969897,1.0,0.24162253822300941,-0.09974337543262189,0.3521745301946677,-0.3241527566935274,-0.15224634562477016
NIVEL_ED,-0.34946341730987257,-0.1781097727684455,0.21760684887047949,0.23415868491457328,0.24162253822300941,1.0,0.06939995048328702,0.0213802446468263,-0.08194549367577615,-0.08172082542006343
CH04,0.17234620774356424,0.11431061091882853,-0.11407314935601906,-0.14512053853802276,-0.09974337543262189,0.06939995048328702,1.0,0.05567226303902138,0.002850680068032625,-0.022787314404149873
CH06,0.011900823741680428,-0.2724532237066919,0.13383772764971485,0.12850009598542408,0.3521745301946677,0.0213802446468263,0.05567226303902138,1.0,-0.4979113201140298,-0.20422814008858542
CH07,0.04846431537581439,0.3730927183532651,-0.2968009692795869,-0.27077533723267266,-0.3241527566935274,-0.08194549367577615,0.002850680068032625,-0.4979113201140298,1.0,0.0978121891295143
CH08,0.3571860969290491,0.023910103778033275,-0.023466251231421677,-0.10632466284604052,-0.15224634562477016,-0.08172082542006343,-0.022787314404149873,-0.20422814008858542,0.0978121891295143,1.0
